genre,title,price,discount,bonus,cover,year,publisher,rating,reviews,stock
Боевики,Загадка Эндхауза,2 198 ₸,-20%,+22,мягкая обложка,2021,Эксмо,4.9,40 отзывов,На складе
Боевики,Темная Башня,11 563 ₸,No discount,+116,твердый переплет,2021,АСТ,5.0,5 отзывов,На складе
Боевики,Исчезновение Стефани Мейлер,8 594 ₸,No discount,+86,твердый переплет,2019,АСТ,4.4,9 отзывов,На складе
Боевики,Пять поросят,2 198 ₸,-20%,+22,мягкая обложка,2020,Эксмо,4.9,34 отзыва,На складе
Боевики,Черный кофе,2 198 ₸,-20%,+22,мягкая обложка,2021,Эксмо,4.8,173 отзыва,На складе
Боевики,Маленький друг,8 594 ₸,No discount,+86,твердый переплет,2015,corpus,4.9,15 отзывов,28 апреля
Боевики,После похорон,2 198 ₸,-20%,+22,мягкая обложка,2019,Эксмо,4.9,30 отзывов,На складе
Боевики,Гончие Лилит,5 242 ₸,No discount,+52,твердый переплет,2018,АСТ,4.8,148 отзывов,На складе
Боевики,Потерянные девушки Рима,2 457 ₸,-20%,+25,звезды мирового детектива (обложка),2018,Азбука,4.7,61 отзыв,На складе
Боевики,Парфюмер. История одного убийцы,2 392 ₸,-15%,+24,мягкая обложка,2018,Азбука,4.8,88 отзывов,На складе
Боевики,Малютка,5 885 ₸,-25%,+59,мягкая обложка,2024,синдбад,5.0,2 отзыва,На складе
Боевики,Фокус с зеркалами,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,4.8,21 отзыв,На складе
Боевики,Пуаро ведет следствие,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,4.9,35 отзывов,На складе
Боевики,Смерть лорда Эджвера,2 070 ₸,-20%,+21,мягкая обложка,2020,Эксмо,5.0,25 отзывов,На складе
Боевики,Тайна замка Чимниз,2 198 ₸,-20%,+22,мягкая обложка,2018,Эксмо,5.0,16 отзывов,На складе
Боевики,Trendbooks. Романы Анны Джейн. Поклонник. Подарочное издание,4 215 ₸,-25%,+42,твердый переплет,2025,Clever,5.0,10 отзывов,На складе
Боевики,Щегол,9 790 ₸,No discount,+98,твердый переплет,2015,corpus,4.9,109 отзывов,На складе
Боевики,Парфюмер. История одного убийцы,5 919 ₸,-15%,+59,твердый переплет,2015,Азбука-бестселлер,4.9,24 отзыва,На складе
Боевики,Цыганская невеста,5 819 ₸,-25%,+58,твердый переплет,2023,синдбад,5.0,3 отзыва,На складе
Боевики,Убийства по алфавиту. Немой свидетель. Труп в библиотеке. Комплект из 5 книг,9 406 ₸,-20%,+94,агата кристи. любимая коллекция (обложка),2025,Эксмо,5.0,1 отзыв,На складе
Боевики,Бегущий в Лабиринте. Лекарство от смерти,4 060 ₸,No discount,+41,твердый переплет,2018,АСТ,4.9,19 отзывов,На складе
Боевики,Портрет Дориана Грея,2 100 ₸,-15%,+21,твердый переплет,2022,Азбука,4.9,170 отзывов,На складе
Боевики,Тайна мёртвого ректора. Книга 2,4 186 ₸,-20%,+42,твердый переплет,2025,Эксмо,5.0,12 отзывов,На складе
Боевики,Пурпурная сеть,5 828 ₸,-25%,+58,мягкая обложка,2024,синдбад,5.0,1 отзыв,На складе
Боевики,Багдадская встреча,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,5.0,12 отзывов,На складе
Боевики,Подсказчик,2 353 ₸,-15%,+24,звезды мирового детектива (обложка),2019,Азбука,4.7,49 отзывов,На складе
Боевики,Глазами жертвы,3 388 ₸,-20%,+34,твердый переплет,2024,Inspiria,5.0,3 отзыва,На складе
Боевики,Двойник с Лунной дамбы. Клатчбук,2 857 ₸,-20%,+29,твердый переплет,2025,Эксмо,5.0,4 отзыва,На складе
Боевики,Исчезнувшая,2 356 ₸,-15%,+24,звезды мирового детектива (обложка),2022,Азбука,4.7,20 отзывов,На складе
Боевики,Токийский Зодиак,1 862 ₸,-20%,+19,pocket book (обложка),2026,Эксмо,4.9,40 отзывов,На складе
Боевики,Замок в облаках,3 521 ₸,-20%,+35,твердый переплет,2019,робинс,4.9,23 отзыва,На складе
Боевики,Шагреневая кожа,1 887 ₸,No discount,+19,мягкая обложка,2015,АСТ,4.7,26 отзывов,На складе
