title,publisher,year,year_missing,cover,cover_type,price,discount,original_price,savings_tenge,price_bucket,bonus,price_per_bonus,rating,review_count,popularity_score,stock,stock_status,genre,discount_bin,is_old,age_category
Проклятые короли,Иностранка,2023,False,твердый переплет,Hardcover,7408,25.0,9877.0,2469.0,Premium (5-8k),74,100.11,5.0,9,2.302585092994046,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Чудо любви,Аст,2022,False,мягкая обложка,Paperback,2301,0.0,2301.0,0.0,Economy (1.5-3k),23,100.04,5.0,36,3.6109179126442243,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Буквы Севера. Последний аккорд Севера,Freedom,2025,False,твердый переплет,Hardcover,4652,0.0,4652.0,0.0,Mid (3-5k),47,98.98,5.0,2,1.0986122886681096,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Ночь в Лиссабоне,Аст,2019,False,твердый переплет,Hardcover,4229,0.0,4229.0,0.0,Mid (3-5k),42,100.69,5.0,28,3.367295829986474,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Спеши любить,Аст,2022,False,мягкая обложка,Paperback,2069,0.0,2069.0,0.0,Economy (1.5-3k),21,98.52,4.8,100,4.4305156961676095,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Баллада о проклятой любви (#2),Freedom,2025,False,твердый переплет,Hardcover,5134,20.0,6418.0,1284.0,Premium (5-8k),51,100.67,5.0,7,2.0794415416798357,2026-04-27,In stock,Романы,Medium (15-30%),False,New
Мара и Морок. 500 лет назад,Эксмо,2021,False,твердый переплет,Hardcover,4186,20.0,5232.0,1046.0,Mid (3-5k),42,99.67,4.9,50,3.8531891200698394,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
"Там, где живет любовь",Эксмо,2020,False,твердый переплет,Hardcover,3653,20.0,4566.0,913.0,Mid (3-5k),37,98.73,4.8,60,3.9464389096063788,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Чувство и чувствительность,Аст,2016,False,мягкая обложка,Paperback,1816,0.0,1816.0,0.0,Economy (1.5-3k),18,100.89,4.8,68,4.064742244413369,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Романы Анны Джейн в кинообложках. Твое сердце будет разбито,Clever,2025,False,твердый переплет,Hardcover,3372,25.0,4496.0,1124.0,Mid (3-5k),34,99.18,5.0,5,1.791759469228055,2026-04-27,In stock,Романы,Medium (15-30%),False,New
Наша вина,Аст,2023,False,твердый переплет,Hardcover,5242,0.0,5242.0,0.0,Premium (5-8k),52,100.81,4.9,48,3.813983892148414,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Все в его поцелуе,Аст,2023,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,4.9,16,2.7765490771750923,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Граф Монте-Кристо.  Книга 2,Аст,2021,False,твердый переплет,Hardcover,2133,0.0,2133.0,0.0,Economy (1.5-3k),21,101.57,5.0,30,3.4339872044851463,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
